step,episode,reward,epsilon,loss,duration
151944,175,-19.0,0.01,0.004546604167306655,2.5074260234832764
152723,176,-21.0,0.01,0.005047264921757364,2.014390707015991
153533,177,-21.0,0.01,0.005188430292449268,2.313504934310913
154361,178,-21.0,0.01,0.004888570049478434,1.9959120750427246
155319,179,-21.0,0.01,0.005406041192933216,2.1250970363616943
156307,180,-19.0,0.01,0.00477461388187581,2.319974184036255
157090,181,-21.0,0.01,0.005185386979695865,2.026060104370117
157916,182,-21.0,0.01,0.005076389097842581,1.9325733184814453
158791,183,-20.0,0.01,0.005453605714805185,2.153012752532959
159567,184,-21.0,0.01,0.005204937992660694,2.0122952461242676
160451,185,-20.0,0.01,0.005551331886195691,2.2443788051605225
161462,186,-19.0,0.01,0.005533161838382497,2.3044583797454834
162296,187,-21.0,0.01,0.006079809578652516,1.9279484748840332
163308,188,-19.0,0.01,0.006093726493418217,2.3054487705230713
164144,189,-20.0,0.01,0.005709107079026267,1.9231276512145996
165083,190,-20.0,0.01,0.006726194970094814,2.1980340480804443
165952,191,-21.0,0.01,0.006342947378395757,1.9764981269836426
167032,192,-20.0,0.01,0.006227381944578762,2.3263189792633057
167967,193,-21.0,0.01,0.0072043604098056555,2.0535998344421387
169174,194,-18.0,0.01,0.006396124251217686,2.859734296798706
170137,195,-20.0,0.01,0.006121484405279963,2.383748769760132
170915,196,-21.0,0.01,0.005713842553566642,2.0018930435180664
171970,197,-20.0,0.01,0.005801639792149548,2.739999294281006
172776,198,-21.0,0.01,0.006292080255986035,1.8783941268920898
173627,199,-21.0,0.01,0.006264356621167675,2.0560619831085205
174605,200,-20.0,0.01,0.007230533932440211,2.372122287750244
175899,201,-18.0,0.01,0.006870509409302436,3.011671304702759
176767,202,-21.0,0.01,0.006952029702249348,2.0269405841827393
177920,203,-20.0,0.01,0.0073510845011312866,2.647529363632202
178817,204,-20.0,0.01,0.00673636431435755,2.0959577560424805
179649,205,-21.0,0.01,0.006357087904829173,2.0805671215057373
180763,206,-20.0,0.01,0.006491723193589384,2.7313594818115234
181712,207,-20.0,0.01,0.006521335740851536,2.1996123790740967
182729,208,-20.0,0.01,0.0064862881334293195,2.254479169845581
183568,209,-21.0,0.01,0.006142515497880855,1.8497300148010254
184483,210,-20.0,0.01,0.006549910667991641,2.0771493911743164
185420,211,-19.0,0.01,0.006495073816164377,2.0334155559539795
186385,212,-20.0,0.01,0.006807975872918284,2.0507211685180664
187269,213,-21.0,0.01,0.007519170010833247,1.9166040420532227
188772,214,-14.0,0.01,0.006953327357707089,3.3538827896118164
189605,215,-20.0,0.01,0.0064458997904484235,1.8692107200622559
190706,216,-19.0,0.01,0.0072315108793025665,2.9026217460632324
192122,217,-16.0,0.01,0.007169388800249093,3.199188232421875
193197,218,-20.0,0.01,0.006800784152537778,3.030381917953491
194553,219,-16.0,0.01,0.007169937587186562,2.9601380825042725
195559,220,-19.0,0.01,0.007354224800592311,2.1982526779174805
196607,221,-19.0,0.01,0.0068821900085197715,2.344351053237915
197789,222,-19.0,0.01,0.00679803423849375,2.476500988006592
198999,223,-19.0,0.01,0.0076188015954303774,2.6720805168151855
199882,224,-20.0,0.01,0.007341705061963072,2.295910596847534
201003,225,-19.0,0.01,0.007265375910875654,2.5525906085968018
202202,226,-18.0,0.01,0.007535871757815281,2.681828260421753
203864,227,-11.0,0.01,0.007184909406742708,3.9081215858459473
204869,228,-20.0,0.01,0.008060908706606444,2.2144858837127686
205954,229,-18.0,0.01,0.008057841897093281,2.6172237396240234
206914,230,-20.0,0.01,0.00915987611321422,2.1440699100494385
208069,231,-19.0,0.01,0.007202607683054329,2.533759832382202
209137,232,-18.0,0.01,0.007232179879193449,2.3189737796783447
210338,233,-17.0,0.01,0.007021218242201333,2.61309552192688
211175,234,-21.0,0.01,0.008371675859370301,1.8018276691436768
212364,235,-16.0,0.01,0.008333385201255422,2.5824787616729736
213387,236,-21.0,0.01,0.008178243540026539,2.276127576828003
214279,237,-20.0,0.01,0.008270243923555675,1.95750093460083
215658,238,-16.0,0.01,0.00737997726874723,3.2899694442749023
216620,239,-19.0,0.01,0.00801180524382493,2.1862151622772217
217580,240,-20.0,0.01,0.007869301853740277,2.165769338607788
218501,241,-21.0,0.01,0.007469049796624028,2.183330774307251
219863,242,-15.0,0.01,0.008197385917404008,3.457737684249878
220939,243,-18.0,0.01,0.007649997578151386,2.8999204635620117
221861,244,-21.0,0.01,0.0074221761040470175,2.2786521911621094
222873,245,-19.0,0.01,0.007098052895944492,2.2084603309631348
223877,246,-21.0,0.01,0.006643419282926447,2.2528486251831055
225014,247,-19.0,0.01,0.0070398705048178335,2.484424591064453
225969,248,-21.0,0.01,0.007060292208563365,2.0136559009552
227324,249,-15.0,0.01,0.007170245466907687,3.1293296813964844
228549,250,-18.0,0.01,0.0070007032938484174,2.7806320190429688
229448,251,-20.0,0.01,0.007385222615363697,2.0525386333465576
230457,252,-20.0,0.01,0.006673473580684956,2.330744981765747
231847,253,-15.0,0.01,0.0061931769180404135,3.19463849067688
233551,254,-12.0,0.01,0.007033441000412538,3.907320261001587
234825,255,-19.0,0.01,0.006826029306198806,2.7603251934051514
236352,256,-16.0,0.01,0.007172089813981712,3.326357126235962
238220,257,-9.0,0.01,0.007288618316889862,4.347015619277954
239463,258,-20.0,0.01,0.007760241309616474,2.7960658073425293
240767,259,-20.0,0.01,0.007222554421815107,2.811650276184082
242687,260,-11.0,0.01,0.007968547839360933,4.310110569000244
244126,261,-19.0,0.01,0.007396150465420861,3.2444260120391846
245937,262,-14.0,0.01,0.008259207844450478,4.056715965270996
247191,263,-19.0,0.01,0.008571475160311157,2.8042757511138916
249201,264,-10.0,0.01,0.008676336405874705,4.852966070175171
250547,265,-17.0,0.01,0.008431285840093292,3.6178040504455566
251852,266,-19.0,0.01,0.008585119710748143,2.887991428375244
253374,267,-17.0,0.01,0.008854885420786511,3.4795219898223877
254784,268,-19.0,0.01,0.008069060620833346,3.246273994445801
257156,269,-9.0,0.01,0.007975309537912124,5.3524298667907715
258969,270,-11.0,0.01,0.0076413605280968855,4.183916807174683
261371,271,-3.0,0.01,0.00805076040017108,5.361287593841553
263117,272,-11.0,0.01,0.007901736596935946,4.064661502838135
264375,273,-21.0,0.01,0.007739134484332553,2.7902674674987793
265834,274,-19.0,0.01,0.007674053428720121,3.320808172225952
267976,275,-9.0,0.01,0.0081879424346948,4.815603971481323
270162,276,-11.0,0.01,0.007774409339097994,4.934874057769775
271190,277,-21.0,0.01,0.008219383421430096,2.402012586593628
272735,278,-14.0,0.01,0.008327248079492349,3.4243130683898926
273887,279,-20.0,0.01,0.007969240798653724,2.603532552719116
275307,280,-20.0,0.01,0.008668283678092798,3.2368056774139404
277222,281,-10.0,0.01,0.008497034416325966,4.22355055809021
278591,282,-19.0,0.01,0.00824459658851248,3.1229898929595947
280167,283,-14.0,0.01,0.007835206107666649,3.4771578311920166
281338,284,-20.0,0.01,0.00870261789035726,2.5409088134765625
282751,285,-19.0,0.01,0.008472967592118144,3.0018558502197266
284334,286,-14.0,0.01,0.008119930948878668,3.466510772705078
285835,287,-16.0,0.01,0.007629997678101063,3.2164132595062256
288212,288,-7.0,0.01,0.007755610014961547,5.171049356460571
289774,289,-14.0,0.01,0.008184316084803774,3.377629280090332
291075,290,-19.0,0.01,0.00802492681174324,2.9153120517730713
292379,291,-20.0,0.01,0.007719334832712596,2.904470205307007
294002,292,-13.0,0.01,0.00784498573684597,3.4948103427886963
295912,293,-10.0,0.01,0.008070355289514376,4.179618835449219
297016,294,-20.0,0.01,0.008141375808180243,2.424226760864258
298432,295,-20.0,0.01,0.008718021300168823,3.0934324264526367
300288,296,-14.0,0.01,0.00905058830013049,4.018337965011597
301709,297,-20.0,0.01,0.008216584450237348,3.3080387115478516
302847,298,-20.0,0.01,0.009133699489019575,2.6033935546875
304104,299,-17.0,0.01,0.008238830408524899,3.4682257175445557
305634,300,-15.0,0.01,0.008233813197152075,3.9292502403259277
306522,301,-21.0,0.01,0.008831508621271397,1.9392080307006836
308146,302,-15.0,0.01,0.008436012849397498,3.7484631538391113
309603,303,-15.0,0.01,0.008574529735507075,3.2954578399658203
310789,304,-18.0,0.01,0.008517642980143554,2.604854106903076
312505,305,-13.0,0.01,0.00823851721822599,3.7518107891082764
313721,306,-20.0,0.01,0.007924521457186385,2.7551026344299316
314906,307,-19.0,0.01,0.008786979873941557,2.6004323959350586
